L -2073, -1318, -25, -2025, -1286, -25, 0, 0, 255
L 2643, -52, -19, 2653, -52, -19, 0, 0, 0
L 2642, -62, -19, 2643, -52, -19, 0, 0, 0
L 2653, -63, -19, 2642, -62, -19, 0, 0, 0
L 2653, -52, -19, 2653, -63, -19, 0, 0, 0
L 2857, 969, -19, 2867, 968, -18, 60, 40, 0
L 2840, 964, -19, 2857, 969, -19, 60, 40, 0
L 2822, 974, -19, 2840, 964, -19, 60, 40, 0
L 2805, 964, -20, 2822, 974, -19, 60, 40, 0
L 2795, 968, -20, 2805, 964, -20, 60, 40, 0
L 2775, 963, -25, 2795, 968, -20, 60, 40, 0
L 2758, 973, -28, 2775, 963, -25, 60, 40, 0
L 2742, 966, -31, 2758, 973, -28, 60, 40, 0
L 2711, 970, -36, 2742, 966, -31, 60, 40, 0
L 2690, 1021, -39, 2711, 970, -36, 60, 40, 0
L 2690, 1022, -39, 2690, 1021, -39, 60, 40, 0
L 2699, 1039, -39, 2690, 1022, -39, 60, 40, 0
L 2700, 1048, -40, 2699, 1039, -39, 60, 40, 0
L 2694, 1057, -41, 2700, 1048, -40, 60, 40, 0
L 2694, 1076, -43, 2694, 1057, -41, 60, 40, 0
L 2692, 1093, -44, 2694, 1076, -43, 60, 40, 0
L 2700, 1108, -44, 2692, 1093, -44, 60, 40, 0
L 2694, 1124, -43, 2700, 1108, -44, 60, 40, 0
L 2696, 1139, -43, 2694, 1124, -43, 60, 40, 0
L 2703, 1166, -42, 2696, 1139, -43, 60, 40, 0
L 2698, 1178, -43, 2703, 1166, -42, 60, 40, 0
L 2688, 1181, -45, 2698, 1178, -43, 60, 40, 0
L 2669, 1196, -51, 2688, 1181, -45, 60, 40, 0
L 2663, 1201, -53, 2669, 1196, -51, 60, 40, 0
L 2659, 1206, -51, 2663, 1201, -53, 60, 40, 0
L 2649, 1208, -50, 2659, 1206, -51, 60, 40, 0
L 2625, 1219, -45, 2649, 1208, -50, 60, 40, 0
L 2626, 1232, -41, 2625, 1219, -45, 60, 40, 0
L 2618, 1254, -39, 2626, 1232, -41, 60, 40, 0
L 2598, 1267, -39, 2618, 1254, -39, 60, 40, 0
L 2595, 1272, -37, 2598, 1267, -39, 60, 40, 0
L 2580, 1296, -30, 2595, 1272, -37, 60, 40, 0
L 2575, 1302, -28, 2580, 1296, -30, 60, 40, 0
L 2571, 1305, -27, 2575, 1302, -28, 60, 40, 0
L 2559, 1306, -27, 2571, 1305, -27, 60, 40, 0
L 2550, 1303, -27, 2559, 1306, -27, 60, 40, 0
L 2546, 1303, -27, 2550, 1303, -27, 60, 40, 0
L 2536, 1302, -27, 2546, 1303, -27, 60, 40, 0
L 2520, 1302, -26, 2536, 1302, -27, 60, 40, 0
L 2510, 1296, -26, 2520, 1302, -26, 60, 40, 0
L 2502, 1300, -24, 2510, 1296, -26, 60, 40, 0
L 2490, 1305, -23, 2502, 1300, -24, 60, 40, 0
L 2471, 1299, -24, 2490, 1305, -23, 60, 40, 0
L 2451, 1302, -22, 2471, 1299, -24, 60, 40, 0
L 2440, 1295, -22, 2451, 1302, -22, 60, 40, 0
L 2424, 1307, -19, 2440, 1295, -22, 60, 40, 0
L 2409, 1300, -19, 2424, 1307, -19, 60, 40, 0
L 2379, 1304, -19, 2409, 1300, -19, 60, 40, 0
L 2353, 1304, -19, 2379, 1304, -19, 60, 40, 0
L 2332, 1271, -19, 2353, 1304, -19, 60, 40, 0
L 2320, 1262, -19, 2332, 1271, -19, 60, 40, 0
L 2312, 1230, -19, 2320, 1262, -19, 60, 40, 0
L 2282, 1230, -19, 2312, 1230, -19, 60, 40, 0
L 2255, 1193, -19, 2282, 1230, -19, 60, 40, 0
L 2243, 1171, -19, 2255, 1193, -19, 60, 40, 0
L 2218, 1168, -19, 2243, 1171, -19, 60, 40, 0
L 2191, 1170, -19, 2218, 1168, -19, 60, 40, 0
L 2171, 1164, -19, 2191, 1170, -19, 60, 40, 0
L 2157, 1172, -19, 2171, 1164, -19, 60, 40, 0
L 2141, 1167, -19, 2157, 1172, -19, 60, 40, 0
L 2124, 1168, -19, 2141, 1167, -19, 60, 40, 0
L 2110, 1163, -19, 2124, 1168, -19, 60, 40, 0
L 2090, 1174, -19, 2110, 1163, -19, 60, 40, 0
L 2074, 1167, -19, 2090, 1174, -19, 60, 40, 0
L 2021, 1172, -17, 2074, 1167, -19, 60, 40, 0
L 2002, 1148, -17, 2021, 1172, -17, 60, 40, 0
L 1989, 1129, -17, 2002, 1148, -17, 60, 40, 0
L 1986, 1117, -17, 1989, 1129, -17, 60, 40, 0
L 1976, 1093, -17, 1986, 1117, -17, 60, 40, 0
