L 674, -2782, -82, 701, -2797, -82, 0, 0, 0
L 664, -2768, -82, 674, -2782, -82, 0, 0, 0
L 655, -2752, -82, 664, -2768, -82, 0, 0, 0
L 648, -2735, -84, 655, -2752, -82, 0, 0, 0
L 645, -2705, -83, 648, -2735, -84, 0, 0, 0
L 702, -2798, -93, 702, -2707, -86, 240, 0, 140
L 647, -2682, -82, 645, -2705, -81, 0, 0, 0
L 672, -2643, -81, 647, -2682, -82, 0, 0, 0
L 682, -2638, -81, 672, -2643, -81, 0, 0, 0
L 695, -2632, -81, 682, -2638, -81, 0, 0, 0
L 706, -2630, -84, 695, -2632, -81, 0, 0, 0
L 706, -2630, -83, 714, -2628, -81, 0, 0, 0
L 714, -2690, -81, 706, -2706, -81, 0, 0, 0
L 744, -2674, -81, 714, -2690, -81, 0, 0, 0
L 766, -2662, -82, 744, -2674, -81, 0, 0, 0
L 793, -2617, -81, 766, -2662, -82, 0, 0, 0
L 798, -2585, -83, 793, -2617, -81, 0, 0, 0
L 798, -2552, -82, 798, -2585, -83, 0, 0, 0
L 791, -2509, -87, 798, -2552, -82, 0, 0, 0
L 792, -2511, -86, 792, -2509, -87, 0, 0, 0
L 731, -2611, -81, 714, -2628, -82, 0, 0, 0
L 740, -2601, -80, 731, -2611, -81, 0, 0, 0
L 736, -2569, -83, 740, -2601, -80, 0, 0, 0
L 736, -2532, -90, 736, -2569, -83, 0, 0, 0
L 748, -2499, -87, 736, -2532, -90, 0, 0, 0
L 149, -2768, 102, 243, -2769, 108, 0, 0, 255
L -160, -3626, -2, -102, -3656, 0, 0, 0, 255
L 26, -3660, 20, 44, -3618, 12, 0, 0, 255
L 65, -3667, 20, 26, -3660, 20, 0, 0, 0
L 88, -3670, 20, 65, -3667, 20, 0, 0, 0
L 95, -3671, 19, 88, -3670, 20, 0, 0, 0
L 112, -3664, 16, 95, -3671, 19, 0, 0, 0
L 132, -3649, 10, 112, -3664, 16, 0, 0, 0
L 152, -3630, 7, 132, -3649, 10, 0, 0, 0
L 168, -3605, 9, 152, -3630, 7, 0, 0, 0
L 178, -3579, 13, 168, -3605, 9, 0, 0, 0
